created_at,language,likes,retweets,text
2020-06-14 20:47:02,en,263311.0,67932.0,Interesting how ANTIFA and other Far Left militant groups can take over a city without barely a wimpier from soft D… https://t.co/UGMttrVuSh
2020-06-14 20:34:35,en,198365.0,49532.0,Does anyone notice how little the Radical Left takeover of Seattle is being discussed in the Fake News Media. That… https://t.co/FZWCrLQ1y4
2020-06-14 14:23:27,und,108839.0,26338.0,https://t.co/gjBMFDbUps
2020-06-14 14:22:30,en,0.0,12586.0,RT @DeptofDefense: First to fight! Happy birthday to the @USArmy. Fighting ‘til the battle is won. Thank you for rolling along for 245 year…
2020-06-14 14:22:17,en,0.0,17611.0,"RT @USArmy: Today, we recognize 245 years of bravery, commitment, skill and answering the call to serve. 

We are America's Army.

#ArmyBda…"
2020-06-14 13:18:09,en,0.0,25909.0,"RT @ErrolWebber: America is better for having you as @POTUS, @realDonaldTrump!

#HappyBirthdayTrump https://t.co/Rv1eD10sqA"
2020-06-14 13:15:52,en,0.0,20513.0,"RT @mikandynothem: Happy Birthday Mr. President!
America is blessed beyond measure to have you in the White House. You're promoting all tha…"
2020-06-14 13:15:03,en,99677.0,16823.0,Thank you Philip! https://t.co/jGspqbtSgL
2020-06-14 13:12:04,en,64288.0,16478.0,"Michael Moore: I‘m ‘Begging‘ Dems -- Don‘t Underestimate White Male Trump Supporter‘s ‘Rage,‘ ‘Emotion‘… https://t.co/Nea09C1mUp"
2020-06-14 03:39:12,en,0.0,9472.0,"RT @markknoller: ""You became brothers &amp; sisters pledging allegiance to the same timeless principles, joined together in a common mission: t…"
2020-06-14 03:39:05,en,0.0,6185.0,"RT @markknoller: Pres begins Commencement Address to graduating cadets, “We are here to celebrate your achievements, and great achievements…"
2020-06-14 03:38:48,en,0.0,7824.0,RT @markknoller: Pres escorted on stage and salutes as Star Spangled Banner is played. https://t.co/b44djk1rlD
2020-06-14 03:37:46,en,0.0,8393.0,"RT @markknoller: Pres Trump and Gen Williams giving more than 500 salutes to members of the Class of 2020, most of the 1,107 grads receivin…"
2020-06-14 03:27:27,en,0.0,12018.0,"RT @GoArmyWestPoint: Flyover + Hat Toss = Celebration.

#GoArmy | #USMA2020 | #WithVisionWeLead https://t.co/SJMDIxoBon"
2020-06-14 03:26:00,en,123096.0,23557.0,A great day at West Point! https://t.co/oJyXsI8RG6
2020-06-14 02:57:43,en,283329.0,44489.0,"The ramp that I descended after my West Point Commencement speech was very long &amp; steep, had no handrail and, most… https://t.co/lhdZUXSWee"
2020-06-13 22:52:45,en,0.0,8813.0,"RT @SenatorTimScott: Despite the challenges ahead of us, we are still the greatest. I'm very optimistic we will find a path forward. #JUSTI…"
2020-06-13 22:47:06,en,0.0,14199.0,RT @AmberSmithUSA: Fantastic and motivating speech by @realDonaldTrump to the West Point Class of 2020. Congratulations to the Army’s newes…
2020-06-13 22:46:32,en,0.0,7056.0,RT @AlexBerenson: Is it just me or is that the best speech Trump has ever given?
2020-06-13 22:45:43,en,0.0,10869.0,"RT @debrajsaunders: “We will only fight to win.”
-Trump at West Point"
2020-06-13 21:19:41,en,0.0,44841.0,"RT @mattgaetz: I’d rather the US not have a soccer team than have a soccer team that won’t stand for the National Anthem. 

You shouldn’t g…"
2020-06-13 21:19:13,en,0.0,11660.0,"RT @dcexaminer: ""You shouldn’t get to play under our flag as our national team if you won’t stand when it is raised.""

@MattGaetz suggests…"
2020-06-13 21:17:58,en,113461.0,30119.0,"And it looks like the NFL is heading in that direction also, but not with me watching! https://t.co/aGfBaK7RNA"
2020-06-13 21:13:22,en,120520.0,24650.0,I won’t be watching much anymore! https://t.co/s8nCg9EJSW
2020-06-13 21:12:20,en,41562.0,10332.0,Tonight at 9:00 P.M. (Eastern). https://t.co/8LYU9GLoTj
2020-06-13 21:09:49,en,0.0,11964.0,"RT @WhiteHouse: ""For the first time in history, half of the senior leaders of the National Security Council are women."" 🇺🇸  https://t.co/1g…"
2020-06-13 21:09:38,en,0.0,26788.0,RT @JackPosobiec: BREAKING: Group of Antifa holds down a street preacher as he screams ‘You’re choking me’ in Seattle Autonomous Zone https…
2020-06-13 21:09:23,en,0.0,32588.0,"RT @realDonaldTrump: On behalf of our entire nation, CONGRATULATIONS to the incredible West Point Class of 2020! https://t.co/mXBXmRDBbP"
2020-06-13 21:08:08,und,0.0,10933.0,RT @thejtlewis: @realDonaldTrump https://t.co/W7L9kCZK3T
2020-06-13 20:33:31,en,152238.0,32588.0,"On behalf of our entire nation, CONGRATULATIONS to the incredible West Point Class of 2020! https://t.co/mXBXmRDBbP"
2020-06-13 12:24:25,en,469154.0,72501.0,MAKE AMERICA GREAT AGAIN!
2020-06-13 12:23:47,en,267661.0,43932.0,LAW &amp; ORDER!
2020-06-13 11:57:06,und,59138.0,11128.0,10:00 A.M. https://t.co/TGUVzlT0My
2020-06-13 11:54:34,en,0.0,8711.0,"RT @NickAdamsinUSA: America can NEVER become a socialist nation.

I am incredibly excited for the next big @DineshDSouza movie to be releas…"
2020-06-13 11:53:35,en,81763.0,19967.0,So true! https://t.co/CSjsY2v3ex
2020-06-13 11:53:03,en,37202.0,7311.0,Happy Birthday Matt. GREAT JOB! https://t.co/5fLrS7F3DE
2020-06-13 11:51:42,en,67574.0,19795.0,"Thank you Frank. Fredo’s ratings are really bad, more than 50% down. A loser!!! https://t.co/DGaSYhqJVj"
2020-06-13 11:49:16,en,0.0,7152.0,"RT @SecretsBedard: Majority agree @realDonaldTrump will beat Biden, 51%-43%, @TheZogbyPoll 
Trump base strong, owns union workers, and also…"
2020-06-13 11:48:49,en,0.0,11724.0,"RT @parscale: Joe Biden put @AOC in charge of his radical $93 TRILLION Green New Deal task force.

AOC and Biden's extremist agenda will EN…"
2020-06-13 11:48:25,en,61158.0,19520.0,They want to totally destroy our great Police Departments. No way!!! https://t.co/pN1azBRVT5
2020-06-13 11:46:40,en,0.0,8056.0,"RT @BorisEP: My Op-Ed ⁦@Newsweek:

Democrats' Hypocrisy on Riots Reveals Political Nature of Coronavirus Lockdowns | Opinion https://t.co/7…"
